Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_AR_A0U4	0	0	0.00535996485165619	0.014986179272242	0	0.0912779566086377	0.0252435127775117	0.0163640362958372	0	0	0.0152431106768431	0	0.0240102642413808	0.534258716362111	0.176320370576967	0.0743028414841782	0.0168728560739639	0	0	0	0	0.00576019077867082	9999	0.656078606195237	0.755376807081178
TCGA_A2_A0CM	0.0033005072013641	0	0.0570339369206639	0.16567997016226	0	0.0973973947164595	0.0662071566788799	0.0755564012616595	0.0416791060742822	0	0	0.0206845415161862	0.00495280328797124	0.215948433282672	0.134984655387988	0.0854780570264663	0	0	0.031097036483147	0	0	0	9999	0.306666836469574	0.961843375686766
TCGA_AO_A0JL	0.109175627564571	0	0.0499827696017301	0.100697103708771	0	0.0162526132428206	0	0.114942754808239	0.0248118477510034	0	0	0.0353107224361372	0	0.296527969514784	0.0555271065713813	0.153183574988727	0	0	0.0435879098118357	0	0	0	9999	0.205284396787304	1.00995303441637
TCGA_A2_A3XT	0.00302497149268054	0	0.0131957307830753	0.0355728056069094	0	0.0957585538168004	0.0236041756330296	0.0221673984094623	0.0132312592797939	0	0.0158808507991676	0	0.00507077387983953	0.545165071058618	0.105336079956987	0.0681540979291233	0.0222055532256942	0	0.0294860404871784	0	0.00214663764164012	0	9999	0.418059907709091	0.938764052422696
TCGA_A2_A1G6	0.0489043403035856	0	0.0930158714101366	0.165011147244803	0	0.118145139760369	0	0.014594476845298	0.0319393414011304	0	0	0.0592060059325569	0.016664843273281	0	0.0122485834282623	0.177482029669378	0.14491939878029	0	0.113965825406849	0	0	0.0039029965440607	9999	0.200581588802007	0.992828059033748
TCGA_BH_A42U	0.058433457331265	0	0.0646483059407111	0.0792265374632986	0	0.214066601672562	0	0.10100206551235	0.0256936459095711	0.00320883392700166	0	0.0330459347854257	0	0.216466145476007	0.0847006087517681	0.086907543482664	0.00321371630487735	0	0.0276564228960729	0.00173018054642475	0	0	9999	0.33020302964114	0.947087087917176
TCGA_BH_A18V	0	0	0	0.0180412614021209	0	0.189977049650687	0	0.0571223527457057	0.00749543519813287	0	0.025689414236826	0.000590792589185842	0	0.423573538604403	0.105484814295204	0.151375325847982	0.00391515977978229	0	0.0137863914549293	0	0	0.00294846419504063	9999	0.582290429600095	0.812243857393281
TCGA_EW_A1PB	0.00835612358482566	0	0	0.131678378638439	0	0.0766499121991686	0.00238127114089482	0.0519368051361954	0.0037994446160511	0	0.0178793019524138	0.0240205245885875	0	0.0794372220051685	0.317838576681353	0.217235920655862	0.0035413748501106	0	0.0652451439509302	0	0	0	9999	0.455642959131814	0.912142751840876
TCGA_A8_A07O	0.00486265793718891	0	0	0.0234736798117118	0	0.0731125547428896	0.0223736564415002	0.0506153482264736	0.0107576607338595	0.000246956682169608	0.0284852362363744	0	0	0.680233785263123	0.0253795718466902	0.0476435460330366	0	0	0	0.0328153460449829	0	0	9999	0.295000043335785	1.05870917894958
TCGA_AO_A12F	0.000186577651969546	0	0.0140383209893641	0.105216987582986	0	0.292473092151614	0	0.0545121841290714	0	0	0	0	0.0533120808278632	0.114022745599282	0.00679657104437498	0.193497148024424	0	0	0.163670512116893	0	0	0.00227377988215796	9999	0.0849849043159677	1.04794406986242
TCGA_A7_A6VY	0.00727974962010293	0	0.167334959253682	0	0	0.0773139691569349	0.0307550435874929	0.0846173553012833	0.00340753435954942	0.0163162649504108	0.0270331008332936	0	0	0.296198659472513	0.109934431891369	0.161991322658805	0.0115730577663205	0	0	0.00624455114824119	0	0	9999	0.479553795328056	0.876857139397591
TCGA_AN_A0G0	0	0	0.0817749337650548	0.0434010634592537	0	0.0947374738820412	0.0326533299916745	0.0856099598549236	0.0109993048878297	0	0.037560475565193	0.00495332940171863	0	0.357201339236604	0.0760313175505368	0.156774864089077	0	0	0.018302608316093	0	0	0	9999	0.100953144413749	1.07580363655961
TCGA_D8_A1JF	0.0357424285046143	0	0.173814000763775	0.0909633600557173	0	0.128990422944661	0	0.0576348473996876	0.0058905542681945	0.0281551906410132	0	0.0115882127290644	0	0.138111871939662	0.0710351230067175	0.197212619451546	0.00802364488561527	0	0.0528377234097305	0	0	0	9999	0.235926698456576	0.982048485041809
TCGA_E2_A1LL	0.0038509087038653	0	0.0833120090754855	0.0195426243448684	0	0.0142889228430821	0	0.151863474027319	0.0163888947640177	0.00358072964536959	0	0.00392103957072845	0	0.229718118014824	0.0979506447648626	0.205019373252642	0.147606606904882	0	0.0094442484350856	0.0135124056529676	0	0	9999	0.112226277695545	1.06151464708779
TCGA_A8_A08R	0	0	0.0917540679723098	0	0	0.0998138037893064	0.0438592624429114	0.0407792830989511	0.0113774596622215	0.0275253783240523	0.0255600581784431	0	0	0.323989129413762	0.148055979376705	0.138909871059591	0.00842589175419124	0	0.0399498149275563	0	0	0	9999	0.666444435790068	0.757888483056473
